locality,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Jette,APARTMENT,APARTMENT,345000,residential_sale,2,,None,No,No,No,,No,,100,,,No,None
Anderlecht,APARTMENT,APARTMENT,249000,residential_sale,3,,None,No,No,Yes,7,No,,105,,,No,None
Ixelles,APARTMENT,APARTMENT,636000,residential_sale,2,,None,No,No,Yes,7,No,,99,,,No,None
Steenokkerzeel,HOUSE,HOUSE,435000,residential_sale,3,32,No,No,Yes,Yes,30,Yes,115,194,350,3,No,JUST_RENOVATED
Dison,APARTMENT,APARTMENT,99000,residential_sale,2,32,No,No,No,Yes,32,No,,94,,4,No,GOOD
Gavere,HOUSE,HOUSE,358500,residential_sale,3,23,Yes,No,No,Yes,12,Yes,44,152,208,3,No,AS_NEW
Dison,APARTMENT,APARTMENT,99000,residential_sale,2,34,No,No,No,Yes,,No,,94,,4,No,GOOD
Beveren Melsele,HOUSE,HOUSE,349000,residential_sale,3,34,No,No,No,Yes,25,Yes,350,154,622,4,No,GOOD
Arlon,APARTMENT,APARTMENT,320000,residential_sale,2,,None,No,Yes,No,,Yes,,99,,,No,None
Ans,APARTMENT,APARTMENT,99000,residential_sale,1,25,No,No,No,Yes,4,No,,56,,2,No,GOOD
Saint-Ghislain,APARTMENT,APARTMENT,240000,residential_sale,2,,None,No,No,Yes,30,No,,97,,,No,None
Waterloo,APARTMENT,APARTMENT,605000,residential_sale,3,,None,No,No,Yes,15,No,,135,,,No,None
Gavere,HOUSE,HOUSE,352500,residential_sale,3,23,Yes,No,No,Yes,12,Yes,35,144,191,3,No,AS_NEW
Menen,HOUSE,HOUSE,365000,residential_sale,5,19,No,No,No,Yes,35,Yes,700,250,970,4,No,GOOD
TISSELT,APARTMENT,APARTMENT,369000,residential_sale,2,,None,No,Yes,Yes,10,No,,100,,,No,None
Uccle,APARTMENT,APARTMENT,285000,residential_sale,1,,None,No,No,Yes,13,No,,68,,,No,None
Bruxelles,APARTMENT,APARTMENT,600000,residential_sale,3,,None,No,No,Yes,7,No,,117,,,No,None
