locality,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Hulshout,HOUSE,HOUSE,170000,residential_sale,3,,None,No,Yes,Yes,,Yes,,143,,,No,None
Bruxelles,APARTMENT,APARTMENT,370000,residential_sale,1,,None,No,No,Yes,8,No,,68,,,No,None
Kontich,APARTMENT,APARTMENT,366000,residential_sale,2,,None,No,Yes,Yes,,No,,110,,,No,None
Mechelen,HOUSE,HOUSE,845000,residential_sale,5,,None,No,Yes,Yes,,No,,394,,,No,None
Schaerbeek,APARTMENT,APARTMENT,137500,residential_sale,1,,None,No,Yes,Yes,2,No,,28,,,No,None
Olmen,HOUSE,HOUSE,249000,residential_sale,3,,None,No,Yes,No,,Yes,,240,,,No,None
Gavere,HOUSE,HOUSE,895000,residential_sale,6,40,No,No,Yes,Yes,30,Yes,,350,626,4,Yes,AS_NEW
Ixelles,APARTMENT,APARTMENT,1195000,residential_sale,3,,None,No,No,Yes,9,No,,153,,,No,None
Westende,APARTMENT,APARTMENT,279000,residential_sale,2,,None,No,No,Yes,,No,,68,,,No,None
WOLUWE-SAINT-PIERRE,HOUSE,HOUSE,525000,residential_sale,3,27,No,No,Yes,No,,Yes,80,106,206,3,No,JUST_RENOVATED
Schaerbeek,APARTMENT,APARTMENT,137500,residential_sale,1,,None,No,Yes,No,,No,,30,,,No,None
Seraing,HOUSE,HOUSE,135000,residential_sale,2,28,No,No,No,Yes,17,Yes,40,87,120,2,No,TO_BE_DONE_UP
Bruxelles,APARTMENT,APARTMENT,365000,residential_sale,1,,None,No,No,No,,No,,71,,,No,None
Woluwe-Saint-Pierre,APARTMENT,APARTMENT,650000,residential_sale,2,,None,No,No,Yes,4,No,,114,,,No,None
Liege,APARTMENT,APARTMENT,129000,residential_sale,1,24,No,No,No,No,,No,,59,,2,No,GOOD
Wavre,APARTMENT,APARTMENT,365000,residential_sale,2,,None,No,No,Yes,12,No,,101,,,No,None
Knokke-Heist,APARTMENT,APARTMENT,6950000,residential_sale,4,,None,No,No,Yes,,No,,206,,,No,None
Kraainem,HOUSE,HOUSE,675000,residential_sale,4,45,No,No,Yes,Yes,10,Yes,115,212,293,3,No,
Ixelles,APARTMENT,APARTMENT,636000,residential_sale,2,,None,No,No,Yes,7,No,,99,,,No,None
Wezembeek-Oppem,HOUSE,HOUSE,985000,residential_sale,5,60,Yes,No,Yes,Yes,55,Yes,570,320,1297,4,No,JUST_RENOVATED
Wavre,APARTMENT,APARTMENT,355000,residential_sale,2,,None,No,No,Yes,15,No,,98,,,No,None
Antwerp,APARTMENT,APARTMENT,234000,residential_sale,2,,None,No,Yes,Yes,3,No,,92,,,No,None
Waterloo,APARTMENT,APARTMENT,605000,residential_sale,3,,None,No,No,Yes,15,No,,135,,,No,None
Blankenberge,APARTMENT,APARTMENT,125000,residential_sale,1,,None,Yes,No,Yes,3,No,,43,,,No,None
Brasschaat,HOUSE,HOUSE,249000,residential_sale,2,,None,No,No,No,,Yes,85,72,,,No,None
Schaerbeek,APARTMENT,APARTMENT,340000,residential_sale,3,30,No,No,No,No,,No,,104,,2,No,GOOD
Seraing,HOUSE,HOUSE,125000,residential_sale,2,18,No,No,No,No,,No,,61,50,2,No,GOOD
Brasschaat,HOUSE,HOUSE,249000,residential_sale,2,,None,No,No,No,,Yes,85,72,,,No,None
Bruxelles,APARTMENT,APARTMENT,600000,residential_sale,3,,None,No,No,Yes,7,No,,117,,,No,None
Halanzy,HOUSE,HOUSE,235000,residential_sale,3,30,No,No,Yes,No,,Yes,,135,580,4,No,TO_RENOVATE
Antwerp,APARTMENT,APARTMENT,249000,residential_sale,2,,None,No,Yes,Yes,3,No,,92,,,No,None
Jambes,APARTMENT,APARTMENT,336000,residential_sale,3,28,No,No,No,Yes,11,No,,97,,,No,AS_NEW
Liège,APARTMENT,APARTMENT,105000,residential_sale,1,,None,No,Yes,No,,No,,37,,,No,None
Thimister-Clermont,HOUSE,HOUSE,599000,residential_sale,5,,None,No,No,Yes,,Yes,1334,286,,,No,None
Dison,APARTMENT,APARTMENT,99000,residential_sale,2,32,No,No,No,Yes,32,No,,94,,4,No,GOOD
Uccle,APARTMENT,APARTMENT,595000,residential_sale,3,,None,No,No,Yes,7,No,,127,,,No,None
Waterloo,HOUSE,HOUSE,735000,residential_sale,3,33,No,No,No,Yes,12,Yes,1200,170,1200,4,No,GOOD
Pipaix,HOUSE,HOUSE,330000,residential_sale,6,,None,No,Yes,No,,No,,300,,,No,None
Oud-Heverlee,HOUSE,HOUSE,495000,residential_sale,4,44,No,No,No,Yes,,Yes,647,165,647,4,No,GOOD
Steenokkerzeel,HOUSE,HOUSE,435000,residential_sale,3,32,No,No,Yes,Yes,30,Yes,115,194,350,3,No,JUST_RENOVATED
Wavre,APARTMENT,APARTMENT,299000,residential_sale,1,,None,No,No,Yes,18,No,,82,,,No,None
Woluwe-Saint-Lambert,APARTMENT,APARTMENT,545000,residential_sale,2,,None,No,No,Yes,12,No,,120,,,No,None
Jette,HOUSE,HOUSE,469000,residential_sale,4,15,No,No,No,No,,Yes,42,171,112,2,No,GOOD
Wavre,APARTMENT,APARTMENT,299000,residential_sale,1,,None,No,No,Yes,19,No,,82,,,No,None
Beveren Melsele,HOUSE,HOUSE,349000,residential_sale,3,34,No,No,No,Yes,25,Yes,350,154,622,4,No,GOOD
Woluwe-Saint-Lambert,APARTMENT,APARTMENT,540000,residential_sale,3,,None,No,No,Yes,9,No,,120,,,No,None
Ans,APARTMENT,APARTMENT,99000,residential_sale,1,25,No,No,No,Yes,4,No,,56,,2,No,GOOD
Etterbeek,APARTMENT,APARTMENT,209000,residential_sale,1,,None,No,No,No,,No,,48,,,No,None
Huy,HOUSE,HOUSE,89500,residential_sale,3,11,No,No,Yes,No,,No,,120,55,2,No,TO_RENOVATE
Schaerbeek,APARTMENT,APARTMENT,540000,residential_sale,2,,None,No,No,No,,No,,142,,,No,None
Gavere,HOUSE,HOUSE,358500,residential_sale,3,23,Yes,No,No,Yes,12,Yes,44,152,208,3,No,AS_NEW
Bruxelles,APARTMENT,APARTMENT,540000,residential_sale,3,,None,No,No,Yes,15,No,,132,,,No,None
Seraing Ougrée,HOUSE,HOUSE,70000,residential_sale,2,15,No,No,No,No,,Yes,220,75,302,3,No,TO_RENOVATE
Flemalle,HOUSE,HOUSE,115000,residential_sale,2,15,No,No,No,No,,Yes,163,,354,3,No,TO_BE_DONE_UP
